Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Şahane Hayatım, Link",Meriç Acemi (1-8)Çağla Kızılelma (9-)Yılmaz Şahin (9-)[1],Çağrı Bayrak,Hilal AltınbilekOnur TunaYiğit ÖzşenerSerkan KeskinNesrin CavadzadeSumru Yavrucuk,Türkiye,FOX,Devam ediyor,"Şahane Hayatım, Ay Yapım imzalı, ilk bölümü 1 Kasım 2023 tarihinde yayımlanan, yönetmenliğini Çağrı Bayrak'ın üstlendiği, senaryosunu Meriç Acemi, Çağla Kızılelma ve Yılmaz Şahin'in kaleme aldığı[2] dram ve komedi türündeki Türk televizyon dizisidir.[3][4] Başrollerini Hilal Altınbilek, Onur Tuna, Yiğit Özşener, Serkan Keskin, Nesrin Cavadzade ve Sumru Yavrucuk paylaşmaktadır.[5]",1,9,Kerem Çatay,1 Kasım 2023 - günümüz,,
"Şahmaran, Link",Pınar Bulut,Umur TuragayBertan Başaran,Serenay SarıkayaBurak Deniz,Türkiye,,Sezon arası,"Şahmaran, Tims&B Productions imzalı, ilk bölümü 20 Ocak 2023[2] tarihinde yayımlanan, yönetmenliğini Umur Turagay'ın yaptığı, senaryosunu Pınar Bulut'un kaleme aldığı, macera, fantastik ve dram türündeki Türk yapımı internet dizisidir. Başrollerini Serenay Sarıkaya ve Burak Deniz paylaşmaktadır.[3]",1,8,Timur SavcıBurak Sağyaşar,20 Ocak 2023 - günümüz,Netflix,
"Şebeke, Link",İbrahim Elma[1]Kemal Çelik,Ozan Uzunoğlu,Furkan PalalıPelin KarahanEren HacısalihoğluCeyda Ateş,Türkiye,,Yayımlandı,"Şebeke, Medyafikir Kulübü imzalı, TRT'nin dijital platformu olan tabii'de yayımlanan aksiyon türündeki Türk yapımı internet dizisidir.[2] Devlete sızmış bir terör örgütünü anlatan dizinin yönetmeni Ozan Uzunoğlu'dur. Dizi, ilk sezonuyla 7 Mayıs 2023 tarihinde 10 bölüm olarak yayımlanmıştır.[3][4][5][6][7][8][9][10]",1,10,İbrahim Elma,7 Mayıs 2023,tabii,
"Taçsız Prenses, Link",Pınar Bulut (1-10)Onur Koralp (1-13)Elif Benan Tüfekçi (11-13)Mehmet Çetin Taşçı (11-13),Volkan Keskin,İsmail HacıoğluSümeyye AydoğanElif KurtaranTarık Papuççuoğlu,Türkiye,FOX,Yayından kaldırıldı,"Taçsız Prenses, MF Yapım imzalı, ilk bölümü 10 Ocak 2023 tarihinde yayımlanan, yönetmenliğini Volkan Keskin'in üstlendiği, senaryosunu Pınar Bulut, Onur Koralp, Elif Benan Tüfekçi ve Mehmet Çetin Taşçı'nın kaleme aldığı dram türündeki Türk televizyon dizisidir. 1994 yapımı Japon dizisi olan Without Family'den uyarlanmıştır. Başrollerini İsmail Hacıoğlu, Sümeyye Aydoğan ve Elif Kurtaran paylaşmaktadır.[1][2][3]",2,13,Asena Bülbüloğlu,10 Ocak 2023 - 24 Haziran 2023,,
"Terzi, Link",Rana MamatlıoğluBekir Baran Sıtkı,Cem Karcı,Çağatay UlusoySalih BademciŞifanur Gül,Türkiye,,Sona erdi,"Terzi, OGM Pictures imzalı, Rana Mamatlıoğlu ve Bekir Baran Sıtkı'nın senaristliğini ve Cem Karcı'nın yönetmenliğini üstlendiği, başrollerini Çağatay Ulusoy, Salih Bademci ve Şifanur Gül'ün paylaştığı, 2 Mayıs 2023 tarihinde Netflix'te[1] yayımlanmaya başlayan Türk yapımı dram türündeki internet dizisidir. 3 sezondan oluşan dizi, 23. bölümü ile final yaparak sona erdi.",3,23,Onur Güvenatam,2 Mayıs 2023 - 3 Kasım 2023,Netflix,
"Tetikçinin Oğlu, Link",Gökhan Horzum,Yağız Alp AkaydınEmre Aybek,Şevket ÇoruhTimuçin EsenGenco Özak,Türkiye,FOX,Yayından kaldırıldı,"Tetikçinin Oğlu, O3 Medya ve Same Film imzalı, ilk bölümü 11 Nisan 2023 tarihinde yayımlanan, yönetmenliğini Yağız Alp Akaydın ve Emre Aybek'in yaptığı, senaryosunu Gökhan Horzum'un kaleme aldığı, başrollerinde Şevket Çoruh, Timuçin Esen ve Genco Özak'ın yer aldığı dram ve aksiyon türündeki Türk televizyon dizisidir.[1][2] Dizi, 6 Haziran 2023 tarihinde yayımlanan 7. bölümüyle yayından kaldırılmıştır.",1,7,Saner AyarÖmer Durak,11 Nisan 2023 - 6 Haziran 2023,,
Tozkoparan İskender,Selin ArapkirliÖzgür Ağaoğlu,Şevki Es,Çağan Efe AkLeya KırşanTuana Naz TiryakiCemrehan KarakaşYağız KılınçDeniz ErayvazBerat Efe Parlar,Türkiye,,Sezon arası,,1,10,Elif Hamamcı,7 Mayıs 2023 (2023-05-07) - günümüz,tabii,
"Türk Dedektif, Link",Ben Schiffer,Niels Arden Oplev,Haluk BilginerYasemin Kay AllenEthan Kai,Türkiye ABD,,Yayında,"Türk Dedektif, Ay Yapım imzalı, Ben Schiffer tarafından Paramount+ için oluşturulan ve 15 Aralık 2023 tarihinde ilk bölümü yayınlanan macera, dram ve aksiyon türündeki internet dizisidir. Dizinin başrollerinde Haluk Bilginer, Yasemin Kay Allen ve Ethan Kai yer almaktadır.[1]",1,6,Kerem ÇatayMarc HelwigBill BlockClaire Sowerby-Sheppard,15 Aralık 2023 - günümüz,Paramount+TV+,
"Veda Mektubu, Link","Deniz Akçay (1)Armağan Gülşahin (1, 5-13)Gökhan Atasoy (1)Mahinur Ergun (2-4)Yusuf Reha Alp (2-4)Melih Çam (2-4)Ayberk Çınar (9-24)Aslı Gönülay (9-24)Simge Ayvazoğlu (9-24)",Deniz Çelebi Dikilitaş,Nurgül YeşilçaySelim BayraktarRabia SoytürkEmre KıvılcımBennu Yıldırımlar,Türkiye,Kanal D,Sona erdi,"Veda Mektubu, Most Production imzalı, ilk bölümü 27 Şubat 2023 tarihinde yayımlanan,[1] yönetmenliğini Deniz Çelebi Dikilitaş'ın üstlendiği, senaryosunu Deniz Akçay'ın kaleme aldığı dram türündeki Türk televizyon dizisidir.[2] Başrollerini Nurgül Yeşilçay, Selim Bayraktar, Rabia Soytürk, Emre Kıvılcım ve Bennu Yıldırımlar paylaşmaktadır.[3] Dizi, 21 Ağustos 2023 tarihinde yayımlanan 24. bölümüyle final yaparak sona erdi.",1,24,Gül Oğuz,27 Şubat 2023 - 21 Ağustos 2023,,
"Vermem Seni Ellere, Link",Şehrazat Tunus Taşçı (1-9)Damla Güçer (1-9)Samed Aslan (1-9)Veli Kaya (4-9),Ali Balcı,Emre BeyBuse Meral,Türkiye,atv,Sona erdi,"Vermem Seni Ellere, AKN Film imzalı, ilk bölümü 18 Haziran 2023 tarihinde yayımlanan, yönetmenliğini Ali Balcı'nın üstlendiği, senaryosunu Şehrazat Tunus Taşçı, Damla Güçer, Samed Aslan ve Veli Kaya'nın kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[1] Başrollerini Emre Bey ve Buse Meral paylaşmaktadır.[2] 2014 yapımı Filipinler dizisi olan Forevermore'dan uyarlanmıştır.[3] Dizi, 13 Ağustos 2023 tarihinde yayımlanan 9. bölümüyle final yaparak sona erdi.",1,9,Akın TopuzEmre Arda,18 Haziran 2023 - 13 Ağustos 2023,,
"Ya Çok Seversen, Link",Kübra Sülün,Ali Bilgin (1-7)Beste Sultan Kasapoğulları (1-7)Ali Balcı (8-13),Kerem BürsinHafsanur Sancaktutan,Türkiye,Kanal D,Sona erdi,"Ya Çok Seversen, Ay Yapım imzalı, ilk bölümü 6 Temmuz 2023 tarihinde yayımlanan, yönetmenliğini Ali Bilgin ve Beste Sultan Kasapoğulları'nın üstlendiği, senaryosunu Kübra Sülün'ün kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[1][2] Başrollerini Kerem Bürsin ve Hafsanur Sancaktutan paylaşmaktadır.[3] Dizi, 30 Eylül 2023 tarihinde yayımlanan 13. bölümüyle final yaparak sona erdi.[4]",1,13,Kerem Çatay,6 Temmuz 2023 - 30 Eylül 2023,,
"Yabani, Link",Hilal YıldızNazlı Sunlu KaçanSerap GazelÇisem KatılmazAli Ercivan,Çağatay Tosun,Halit Özgür SarıSimay BarlasDolunay SoysertBertan AsllaniYurdaer Okur,Türkiye,FOX,Ara verdi,"Yabani, NTC Medya imzalı, ilk bölümü 12 Eylül 2023 tarihinde yayınlanan, yönetmenliğini Çağatay Tosun'un üstlendiği, senaryosunu Hilal Yıldız'ın kaleme aldığı dram türündeki Türk yapımı televizyon dizisidir. Dizinin başrollerini Halit Özgür Sarı, Simay Barlas, Dolunay Soysert, Yurdaer Okur ve Bertan Asllani paylaşmaktadır.[1][2]",1,16,Fatih AksoyMehmet Yiğit Alp,12 Eylül 2023 - günümüz,,
"Yalnız Kalpler, Link",Eylem Akın,Cevriye Demir,Sena ŞahinTaygun SungarElif GülhanFurkan Kapsız,Türkiye,FOX,Sona erdi,"Yalnız Kalpler, Bros Film ve Mavi Yapım imzalı, ilk bölümü 9 Ocak 2023 tarihinde yayımlanan, yönetmenliğini Cevriye Demir'in üstlendiği, başrollerini Sena Şahin, Taygun Sungar, Elif Gülhan ve Furkan Kapsız'ın paylaştığı dram türündeki günlük yayımlanan Türk televizyon dizisidir.[1][2] Dizi, 9 Haziran 2023 tarihinde yayımlanan 100. bölümü ile final yaparak sona ermiştir.",1,100,Selim ErkulCelal ÖztürkOğuz Öztürk,9 Ocak 2023 - 9 Haziran 2023,,
"Yaz Şarkısı, Link",Ramazan Demirli (1-8)Zafer Özer Çetinel (1-5)Görkem Tüzün (1-5)Elif Özsüt (7-8)Gökhan Temel (7-8),Doğa Can Anafarta,Nilsu Berfin AktaşMustafa Mert KoçEfekan Can,Türkiye,FOX,Sona erdi,"Yaz Şarkısı, Pastel Film imzalı, ilk bölümü 9 Temmuz 2023 tarihinde yayınlanan, yönetmenliğini Doğa Can Anafarta'nın üstlendiği, senaryosunu Ramazan Demirli, Zafer Özer Çetinel ve Görkem Tüzün'ün kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[2][3] Dizinin başrollerini Nilsu Berfin Aktaş, Mustafa Mert Koç ve Efekan Can paylaşmaktadır.[4] Dizi, 27 Ağustos 2023 tarihinde yayınlanan 8. bölümüyle final yaparak sona ermiştir.[5]",1,8,Yaşar İrvülEfe İrvül,9 Temmuz 2023 - 27 Ağustos 2023,,Tuğrul Eylül Cerrahoğlu
Yeşil Deniz,Ali KaraTeoman GökMustafa Becit,Serkan Özarslan,Burak Serdar ŞanalMert TurakBurak AlkaşAli Barkın,Türkiye,,Sezon arası,,1,10,Rahmi KukulAyfer Özgürel,7 Mayıs 2023 - günümüz,tabii,Tuna Hizmetli
"Yeşil Vadi'nin Kızı, Link",Serhat YğitDeniz Mert CebeOsman DikicilerPune Haeri UlusoyNesrin Zamur,M. Murat ŞenöyÇağıl Nurhak Aydoğdu,Beren GökyıldızSezin BozacıOnur Dikmen,Türkiye,Show TV,Sona erdi,"Yeşil Vadi'nin Kızı, Yeşil Yapım ve Hacıyatmaz imzalı, ilk bölümü 3 Temmuz 2023 tarihinde yayımlanan, [1] başrollerinde Beren Gökyıldız, Sezin Bozacı ve Onur Dikmen'in yer aldığı dram türündeki günlük yayımlanan Türk televizyon dizisidir.[2] Dizi, 11 Ekim 2023 tarihinde yayımlanan 73. bölümü ile final yaparak sona erdi.",1,73,Özkan İpekM.Tayfur Sonkaya,3 Temmuz 2023 - 11 Ekim 2023,,
"Yıldızlar Bana Uzak, Link",Ercan Uğur,Bahadır İnce,Furkan AndıçBurcu Kıratlı,Türkiye,atv,Devam ediyor,"Yıldızlar Bana Uzak, O3 Medya Ve Ortaks imzalı, ilk bölümü 31 Aralık 2023 tarihinde yayımlanan, yönetmenliğini Bahadır İnce'in üstlendiği, senaryosunu  Ercan Uğur'un kaleme aldığı dram türündeki Türk televizyon dizisidir. Başrollerini Furkan Andıç ve Burcu Kıratlı paylaşmaktadır.[1]",1,1,Saner AyarMüge Turalı PakMelda Perahya YalçınMehmetcan Yüksel,31 Aralık 2023 - günümüz,,
"Yüz Yıllık Mucize, Link",Nuran Evren Şit,Hilal Saral,Birkan SokulluEbru Şahin,Türkiye,Star TV,Sona erdi,"Yüz Yıllık Mucize, OGM Pictures imzalı, ilk bölümü 23 Mart 2023 tarihinde yayımlanan, yönetmenliğini Hilal Saral'ın üstlendiği, senaryosunu Nuran Evren Şit'in kaleme aldığı dram türündeki Türk televizyon dizisi. Başrollerini Birkan Sokullu ve Ebru Şahin paylaşmaktadır.[1][2] Dizi, 15 Haziran 2023 tarihinde yayımlanan 13. bölümüyle final yaparak sona ermiştir.",1,13,Onur Güvenatam,23 Mart 2023 - 15 Haziran 2023,,
"Adı Sevgi, Link",Filiz AlpgezmenMurat Can Tura,Sadullah CelenCelil Murat Sarı,Yunus Emre YıldırımerGizem Güneş,Türkiye,atv,Sona erdi,"Adı Sevgi, Koliba Film imzalı, ilk bölümü 13 Mart 2022 tarihinde yayımlanan, yönetmenliğini Sadullah Celen'in üstlendiği, başrollerini Yunus Emre Yıldırımer ve Gizem Güneş'in paylaştığı dram, aksiyon ve gerilim türündeki Türk televizyon dizisidir.[1] Dizi, 22 Mayıs 2022 tarihinde yayımlanan 11. bölümü ile final yaparak sona erdi.",1,11,Ata Türkoğlu,13 Mart 2022 - 22 Mayıs 2022,,Kalan Müzik
"Ah Nerede, Link",Kübra SülünMeryem Demirli,Bülent İşbilen,Oktay ÇubukNil Keser,Türkiye,Star TV,Sona erdi,"Ah Nerede, 10. Ev Yapım  imzalı, ilk bölümü 1 Temmuz 2022 tarihinde yayımlanan, yönetmenliğini Bülent İşbilen'in üstlendiği, senaryosunu Kübra Sülün ve Meryem Demirli'nin yazdığı, başrollerini Nil Keser ve Oktay Çubuk'un paylaştığı romantik komedi türündeki Türk yapımı televizyon dizisi. Dizi, Orhan Aksoy'un 1975 yapımı Ah Nerede filminin uyarlamasıdır.[1][2] Dizi, 19 Ağustos 2022 tarihinde yayımlanan 7. bölümüyle final yaparak sona ermiştir.[3]",1,7,,1 Temmuz 2022 - 19 Ağustos 2022,,
"Aldatmak, Link",Yıldız Tunç,Murat Saraçoğlu,Vahide PerçinErcan KesalMustafa Uğurlu,Türkiye,atv,Devam ediyor,"Aldatmak, Tims&B Productions imzalı, ilk bölümü 22 Eylül 2022 tarihinde yayımlanan, yönetmenliğini Murat Saraçoğlu'nun yaptığı, Yıldız Tunç'un senaryosunu kaleme aldığı, başrollerini Vahide Perçin, Ercan Kesal ve Mustafa Uğurlu'nun paylaştığı dram türündeki Türk televizyon dizisidir.[1][2][3]",2,51,Timur SavcıBurak Sağyaşar,22 Eylül 2022 - günümüz,,
"Annenin Sırrıdır Çocuk, Link",Makbule Kosif (1-8)Gülsev Karagöz (1-8)Okan Başar Bahar (1-8)Platin Yazı Grubu (9-11),Müge Uğurlar,İrem HelvacıoğluSelin YeninciEngin ÖztürkOlgun Toker,Türkiye,TV8,Sona erdi,"Annenin Sırrıdır Çocuk, NTC Medya imzalı, ilk bölümü 6 Nisan 2022 tarihinde yayımlanan, yönetmenliğini Müge Uğurlar'ın üstlendiği, senaryosunu Makbule Kosif, Gülsev Karagöz ve Okan Başar Bahar'ın kaleme aldığı, başrollerini İrem Helvacıoğlu, Selin Yeninci, Engin Öztürk ve Olgun Toker'in paylaştığı dram türündeki Türk televizyon dizisidir.[1][2] Dizi, 15 Haziran 2022 tarihinde yayımlanan 11. bölümü ile final yaparak sona erdi.[3]",1,11,Fatih AksoyMehmet Yiğit Alp,6 Nisan 2022 - 15 Haziran 2022,,
"Andropoz, Link",Engin Günaydın,Taylan Biraderler,Engin GünaydınTamer KaradağlıDerya Karadaş,Türkiye,,Yayımlandı,"Andropoz, Engin Günaydın tarafından Netflix için oluşturulan, ilk bölümü 8 Ekim 2022 tarihinde yayımlanan, yönetmenliğini Taylan Biraderler'in yaptığı, senaryosunu Engin Günaydın'ın yazdığı dram ve komedi türündeki Türk internet dizisidir. Dizinin başrollerinde Engin Günaydın, Tamer Karadağlı ve Derya Karadaş yer almaktadır.[1][2]",1,6,,8 Ekim 2022,Netflix,
"Aşk Kumardır, Link",Murat DişliZeki Enes Akkan,Nezih Helvacıoğlu,Ecem ErkekBarış YıldızSeda TürkmenEfe TunçerElit Andaç ÇamEmre Taştekin,Türkiye,,Yayımlandı,"Aşk Kumardır, Exxen'de yayımlanan komedi türündeki Türk yapımı internet dizisidir. Dizinin ilk bölümü 14 Şubat 2022 tarihinde yayımlandı.[1]",1,7,,14 Şubat 2022 - 28 Mart 2022,Exxen,
"Aşk ve Umut, Link",Merve BalıkçıBaran Gündoğdu,(1. sezon)  Gürsel Ateş Reyhan Usta  (2. sezon)  Mahmut KaptanReyhan Usta,Hakan Dinçkolİlayda OrkutEda Elif BaşlamışlıFurkan OkumuşZeynep Melis GirşenErdem Adilce,Türkiye,Kanal D,Devam ediyor,"Aşk ve Umut, Focus Film ve Content House imzalı, ilk bölümü 26 Eylül 2022 tarihinde yayımlanan, yönetmenliğini 1. sezonda Gürsel Ateş ve Reyhan Usta'nın, 2. sezonda ise Mahmut Kaptan ve Reyhan Usta'nın üstlendiği,[1] başrollerini Hakan Dinçkol, İlayda Orkut, Eda Elif Başlamışlı, Furkan Okumuş, Zeynep Melis Girşen ve Erdem Adilce'nin paylaştığı dram türündeki günlük yayımlanan Türk televizyon dizisidir.[2][3][4]",2,230,Nilgün Sağyaşar,26 Eylül 2022 - günümüz,,
Aşkın Yolculuğu,İsa Yıldız (1-26)Fatma Nur Güldalı (1-26) Ali Ozan Salkım (1-26),Kamil Aydın (1-5)Yücel Hüdaverdi (5-26),Burak Sevinç,Türkiye,TRT 1,Sona erdi,,1,26 (bölümleri listesi),Kemal Tekden,11 Şubat 2022 - 28 Nisan 2022,,
"Baba, Link",Gökhan HorzumEkin Atalar,Çağrı Bayrak,Haluk Bilginer Tolga Sarıtaş,Türkiye,Show TV,Sona erdi,"Baba, Ay Yapım imzalı, ilk bölümü 15 Şubat 2022 tarihinde yayımlanan, yönetmenliğini Çağrı Bayrak'ın yaptığı, senaryosunu Gökhan Horzum ve Ekin Atalar'ın kaleme aldığı dram türündeki Türk yapımı televizyon dizisi.[1] Başrollerini Haluk Bilginer ve Tolga Sarıtaş paylaşmaktadır. 2 sezondan oluşan dizi, 27 Aralık 2022 tarihinde yayımlanan 30. bölümüyle final yaparak sona ermiştir.",2,30 (bölümleri listesi),Kerem Çatay,15 Şubat 2022 - 27 Aralık 2022,,
"Balkan Ninnisi, Link",Uğur UzunokNurullah SevimliAbdülhamit IşıkEsma KoçBaki Türkİdris MeydiOzan AyazAlev ToprakoğluHamza Akyıldız,"Doğan Ümit Karaca(1-4)Volkan Kapkın (1-4)Serdar Akar (5-10, 21)Selahattin Sancaklı(6-25)Evrim Yöney (11-25)",Erdal ÖzyağcılarÖzlem TürkadEmre BeyMerih ÖztürkHakan BoyavSuzan AkbelgeCan KolukısaErman SabanBedia Begovska,Türkiye,TRT 1,Sona erdi,"Balkan Ninnisi, ilk bölümü 21 Haziran 2022 tarihinde yayımlanan Türk yapımı aile ve romantik türdeki televizyon dizisi. Dizinin başrollerinde Erdal Özyağcılar, Özlem Türkad, Emre Bey, Merih Öztürk[1] ve Hakan Boyav yer almıştır.[2] Dizi, 5 Ocak 2023 tarihinde yayımlanan 25. bölümüyle final yaparak sona ermiştir.[3]",1,25,Yalçın ArıUğur Uzunok,21 Haziran 2022 - 5 Ocak 2023,,
Barbaros Hayreddin,Zülküf Yücel (1-9)Uğur Uzunok (10-20)Hamza Akyıldız (10-20)Abdülhamit Işık (10-20)Esma Koç (10-14),Berat Özdoğan,Tolgahan Sayışman,Türkiye,TRT 1,Sona erdi,,1,20,Yusuf EsenkalSerdar Öğretici,23 Aralık 2022 - 9 Haziran 2023,,
"Ben Bu Cihana Sığmazam, Link",Oktay Kaynarca (1-30) Onur Tan (1-9)Ali Can Yaraş (1-4)Mahinur Ergun (1-6)Yusuf Reha Alp (1-7)Alev Uzma (9-35)Ceylan Güleç (9-35)Alphan Dikmen (10-35)Başak Angigün (10-35)Zülküf Yücel (36-)Zehra Yücel (36-),Onur Tan (1-8)Baran Özçaylan (4-35)Zekeriya Tekin Kurtuluş (8-10)Mustafa Şevki Doğan (11-)Tuğçe Küçükkalıpçı(36-),Oktay KaynarcaEbru ÖzkanOzan Akbabaİsmail DemirciBurak ÇelikEski başrolPelin Akil,Türkiye,atv,Devam ediyor,"Ben Bu Cihana Sığmazam, Güzel Adamlar Medya ve KYN Production imzalı, ilk bölümü 20 Eylül 2022 tarihinde yayımlanan aksiyon ve dram türündeki Türk televizyon dizisi.[1][2] Dizinin başrollerinde Oktay Kaynarca, Ebru Özkan, Pelin Akil, Burak Çelik, İsmail Demirci ve Ozan Akbaba yer almaktadır.[3]",2,51,Oktay KaynarcaSeyfi Şahin (1-35)Onur Tan (1-35)Onur Kaynarca (36-),20 Eylül 2022 - günümüz,,Levent Güneş
"Ben Gri, Link",OGM Yazım Grubu,Taylan Biraderler,Timuçin EsenEbru Özkan,Türkiye,,Yayımlandı,"Ben Gri, Banu Kiremitçi Bozkurt tarafından oluşturulan, ilk bölümü 16 Kasım 2022 tarihinde yayımlanan, yönetmenliğini Taylan Biraderler'in yaptığı suç, gizem ve psikolojik gerilim türündeki Türk mini internet dizisidir.[1][2][3]",1,8,Onur Güvenatam,16 Kasım 2022 - 28 Aralık 2022,Disney+,
"Bir Küçük Gün Işığı, Link",Özgür Evren Heptürk (1-36)Elif Başaran (1-36)Kerem Bozok (1-3)Pervin Bozan (1-2)Nuriye Bilici (4-36)Mustafa Mutlu (4-36)Birol Elginöz (6-36),Emre Kabakuşak,Seray KayaBerk Oktay,Türkiye,atv,Sona erdi,"Bir Küçük Gün Işığı, NGM imzalı, ilk bölümü 5 Eylül 2022 tarihinde yayımlanan, yönetmenliğini Emre Kabakuşak'ın üstlendiği, senaryosunu Özgür Evren Heptürk'ın kaleme aldığı, başrollerini Seray Kaya ve Berk Oktay'ın paylaştığı dram türündeki Türk televizyon dizisidir.[1][2][3] Dizi, 5 Haziran 2023 tarihinde yayımlanan 36. bölümü ile final yaparak sona erdi.",1,36,Nazlı Heptürk,5 Eylül 2022 - 5 Haziran 2023,,
"Bir Peri Masalı, Link",Deniz Akçay(1)Armağan Gülşahin(1-13)Murat Emir Eren(1-13)Gökhan Atasoy(7-13),Merve Çolak(1-13)Çağıl Bocut(1),Alina BozTaro Emir TekinHazal Filiz KüçükköseNazan Kesal,Türkiye,FOX,Sona erdi,"Bir Peri Masalı, Medyapım imzalı, ilk bölümü 28 Eylül 2022 tarihinde yayımlanan, yönetmenliğini Merve Çolak ile Çağıl Bocut'un yaptığı, Deniz Akçay'ın senaryosunu kaleme aldığı, başrollerini Alina Boz, Taro Emir Tekin, Hazal Filiz Küçükköse ve Nazan Kesal'ın paylaştığı dram türündeki Türk televizyon dizisidir.[1][2] Dizi, 27 Aralık 2022 tarihinde yayımlanan 13. bölümüyle final yaparak sona ermiştir.[3]",1,13,Fatih AksoyMerve GirginDirenç Aksoy,28 Eylül 2022 - 27 Aralık 2022,,Sertaç Özgümüş
"Canım Annem, Link",Ahmet KöşeoğluGökhan KorkusuzSedef KayaMünevver YıldızDeniz AydenkHazan TomaAslı AksuGökçen EroğluŞeyma Yolkara,Ece Tahtalıoğlu PertezEmrah Şendur,Selin SezginErol GedikGece Işık Demirel,Türkiye,TV8,Sona erdi,"Canım Annem, Stellar Yapım ve Saran Studios imzalı, ilk bölümü 14 Şubat 2022 tarihinde yayımlanan, yönetmenliğini Ece Tahtalıoğlu Pertez ve Emrah Şendur'un üstlendiği, başrollerini Selin Sezgin, Erol Gedik ve Gece Işık Demirel'in paylaştığı dram  türündeki günlük yayımlanan Türk televizyon dizisi.[1][2] 1 sezondan oluşan dizi, 28 Temmuz 2023 tarihinde yayımlanan 350. bölümüyle final yaparak sona ermiştir.",1,350,İnci Gülen OarrJulia Berköz,14 Şubat 2022 - 28 Temmuz 2023,,
"Cezailer, Link",Murat Can OğuzAyberk Çınar,Murat Can Oğuz,Yiğit ÖzşenerRıza Kocaoğlu,Türkiye,,Yayımlandı,"Cezailer, Most Production imzalı, ilk bölümü 29 Eylül 2022 tarihinde yayımlanan, yönetmenliğini Murat Can Oğuz'un üstlenip senaryosunu Ayberk Çınar'la birlikle yazdığı, başrollerini Yiğit Özşener ve Rıza Kocaoğlu'nun paylaştığı dram türündeki Türk internet dizisidir.[1][2] Dizide Rosenhan deneyi konusu işlenmektedir.[3]",1,6,Murat Can Oğuz,29 Eylül 2022 - 3 Kasım 2022,GAİN,
Çekiç ve Gül,Ercan Uğur,Devrim Yalçın,Erdal Beşikçioğlu  İnanç Konukçu  Berkan Şal,Türkiye,,Yayında,,2,12,Müge TuralıMelda Perahya YalçınMehmetcan Yüksel,6 Aralık 2022 - günümüz,BluTV,Cem Kısmet
"Çöp Adam, Link",Melek Gençoğlu (1-13)Su Ersöz (1-13)Deniz Madanoğlu (14-25)Meriç Demiray (26-30)Volkan Sümbül (26-30)Okan Başar Bahar (26-30)Pınar Göktaş (26-30),Yağız Alp Akaydın (1-8)Çağrı Vila Lostuvalı (9-30),Engin Altan DüzyatanElçin Sangu,Türkiye,Star TV,Sona erdi,"Çöp Adam, OGM Pictures imzalı, ilk bölümü 30 Kasım 2022 tarihinde yayımlanan, yönetmenliğini Yağız Alp Akaydın ve Çağrı Vila Lostuvalı'nın üstlendiği, senaryosunu Melek Gençoğlu, Su Ersöz, Deniz Madanoğlu, Meriç Demiray, Volkan Sümbül, Okan Başar Bahar ve Pınar Göktaş'ın kaleme aldığı dram türündeki Türk televizyon dizisidir. Başrollerini Engin Altan Düzyatan ve Elçin Sangu paylaşmaktadır.[1][2][3] 2 sezondan oluşan dizi, 11 Ekim 2023 tarihinde yayımlanan 30. bölümüyle final yaparak sona erdi.",2,30,Onur Güvenatam,30 Kasım 2022 - 11 Ekim 2023,,
"Darmaduman, Link",Damla Serim (1-9)Berrin Tekdemir (2-9),Deniz Yorulmazer,Mert YazıcıoğluAslıhan MalboraHafsanur SancaktutanAytaç ŞaşmazNur FettahoğluNecip Memili,Türkiye,FOX,Sona erdi,"Darmaduman, Ay Yapım imzalı, ilk bölümü 27 Ekim 2022 tarihinde yayımlanan, yönetmenliğini Deniz Yorulmazer'ın üstlendiği, Damla Serim'in senaryosunu yazdığı, başrollerini Mert Yazıcıoğlu, Hafsanur Sancaktutan, Aslıhan Malbora, Aytaç Şaşmaz, Nur Fettahoğlu ve Necip Memili'nin paylaştığı gençlik ve dram türündeki Türk televizyon dizisidir.[1][2] Amerikan yapımı Beverly Hills, 90210 dizisinden uyarlanmıştır. Dizi, 24 Aralık 2022 tarihinde yayımlanan 9. bölümüyle final yaparak sona ermiştir.[3]",1,9,Kerem Çatay,27 Ekim 2022 - 24 Aralık 2022,,
